date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
20:27:25	53324/53324	---M--	200	added ('OK')	application/x-javascript	etag:%22d04c-5e49fa775c700%22	https://mophy.dexignzone.com/xhtml/vendor/moment/moment.min.js	C:/dhaboard/dashboard/mophy.dexignzone.com/xhtml/vendor/moment/moment.min.js	(from https://mophy.dexignzone.com/xhtml/app-calender.html)
20:27:25	238326/238326	---M--	200	added ('OK')	application/x-javascript	etag:%223a2f6-5e49fef489e40%22	https://mophy.dexignzone.com/xhtml/vendor/jqueryui/js/jquery-ui.min.js	C:/dhaboard/dashboard/mophy.dexignzone.com/xhtml/vendor/jqueryui/js/jquery-ui.min.js	(from https://mophy.dexignzone.com/xhtml/app-calender.html)
20:27:25	6308/6308	---M--	200	added ('OK')	application/x-javascript	etag:%2218a4-5e4adfd6ff000%22	https://mophy.dexignzone.com/xhtml/js/plugins-init/fullcalendar-init.js	C:/dhaboard/dashboard/mophy.dexignzone.com/xhtml/js/plugins-init/fullcalendar-init.js	(from https://mophy.dexignzone.com/xhtml/app-calender.html)
20:27:26	18273/18273	---M--	200	added ('OK')	image/jpeg	etag:%224761-5e49fb4a1f840%22	https://mophy.dexignzone.com/xhtml/images/product/1.jpg	C:/dhaboard/dashboard/mophy.dexignzone.com/xhtml/images/product/1.jpg	(from https://mophy.dexignzone.com/xhtml/ecom-product-grid.html)
20:27:26	249530/249530	---M--	200	added ('OK')	application/x-javascript	etag:%223ceba-5e49fe5ddbac0%22	https://mophy.dexignzone.com/xhtml/vendor/fullcalendar/js/main.min.js	C:/dhaboard/dashboard/mophy.dexignzone.com/xhtml/vendor/fullcalendar/js/main.min.js	(from https://mophy.dexignzone.com/xhtml/app-calender.html)
20:27:26	16353/16353	---M--	200	added ('OK')	image/jpeg	etag:%223fe1-5e49fb4743180%22	https://mophy.dexignzone.com/xhtml/images/product/2.jpg	C:/dhaboard/dashboard/mophy.dexignzone.com/xhtml/images/product/2.jpg	(from https://mophy.dexignzone.com/xhtml/ecom-product-grid.html)
20:27:26	15418/15418	---M--	200	added ('OK')	image/jpeg	etag:%223c3a-5e49fb4743180%22	https://mophy.dexignzone.com/xhtml/images/product/3.jpg	C:/dhaboard/dashboard/mophy.dexignzone.com/xhtml/images/product/3.jpg	(from https://mophy.dexignzone.com/xhtml/ecom-product-grid.html)
20:27:26	14867/14867	---M--	200	added ('OK')	image/jpeg	etag:%223a13-5e49fb4a1f840%22	https://mophy.dexignzone.com/xhtml/images/product/4.jpg	C:/dhaboard/dashboard/mophy.dexignzone.com/xhtml/images/product/4.jpg	(from https://mophy.dexignzone.com/xhtml/ecom-product-grid.html)
20:27:27	16659/16659	---M--	200	added ('OK')	image/jpeg	etag:%224113-5e49fb4cfbf00%22	https://mophy.dexignzone.com/xhtml/images/product/5.jpg	C:/dhaboard/dashboard/mophy.dexignzone.com/xhtml/images/product/5.jpg	(from https://mophy.dexignzone.com/xhtml/ecom-product-grid.html)
20:27:27	15436/15436	---M--	200	added ('OK')	image/jpeg	etag:%223c4c-5e49fb4b13a80%22	https://mophy.dexignzone.com/xhtml/images/product/6.jpg	C:/dhaboard/dashboard/mophy.dexignzone.com/xhtml/images/product/6.jpg	(from https://mophy.dexignzone.com/xhtml/ecom-product-grid.html)
